# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-grid1q policy, 2026-08-21.
vrampress: start free 419 MiB of 512 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 384 MiB held after 3 allocations (CUresult 2)
vrampress: grown to 384 MiB held, 35 MiB free of 512 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,256,163,512,3,1,2
1,256,163,512,28,26,26
2,381,38,512,56,50,47
3,290,129,512,79,76,73
4,307,112,512,106,102,95
5,360,59,512,133,129,117
6,256,163,512,158,156,141
7,382,37,512,186,180,162
8,288,131,512,211,208,186
9,382,37,512,238,233,208
10,301,118,512,263,259,232
11,298,121,512,289,286,255
12,373,46,512,314,310,279
13,316,103,512,340,336,302
14,391,28,512,366,362,326
15,321,98,512,392,388,349
16,292,127,512,417,414,373
17,276,143,512,443,440,396
18,272,147,512,469,466,419
19,332,87,512,495,491,442
20,317,102,512,521,517,465
21,324,95,512,546,543,489
22,405,14,512,573,568,511
23,339,80,512,599,595,534
24,352,67,512,625,621,557
25,277,142,512,650,647,581
26,388,31,512,676,672,604
27,326,93,512,702,697,627
28,351,68,512,728,723,650
29,403,16,512,754,749,673
30,375,44,512,779,774,697
31,366,53,512,806,802,720
32,352,67,512,833,829,743
33,256,163,512,859,857,767
34,331,88,512,888,883,787
35,303,116,512,914,910,810
36,393,26,512,940,936,833
37,358,61,512,965,961,857
38,392,27,512,991,987,880
39,418,1,512,1019,1013,901
40,414,5,512,1044,1039,925
41,339,80,512,1069,1065,949
42,348,71,512,1098,1093,969
43,394,25,512,1124,1120,992
44,348,71,512,1148,1145,1017
45,410,9,512,1175,1171,1039
46,288,131,512,1200,1197,1063
47,323,96,512,1228,1224,1085
48,375,44,512,1255,1250,1107
49,286,133,512,1279,1276,1132
50,323,96,512,1306,1302,1154
51,359,60,512,1332,1328,1178
52,382,37,512,1358,1352,1201
53,370,49,512,1386,1382,1223
54,304,115,512,1410,1407,1248
55,307,112,512,1437,1433,1270
56,409,10,512,1463,1459,1293
57,370,49,512,1490,1486,1315
58,313,106,512,1516,1512,1338
59,303,116,512,1541,1537,1362
60,284,135,512,1567,1564,1385
61,378,41,512,1594,1590,1407
62,322,97,512,1620,1616,1430
63,371,48,512,1646,1641,1453
64,379,40,512,1672,1667,1476
65,386,33,512,1697,1693,1500
66,317,102,512,1723,1719,1523
67,329,90,512,1748,1745,1547
69,385,34,512,1774,1770,1570
70,295,124,512,1801,1797,1592
71,369,50,512,1828,1823,1614
72,391,28,512,1856,1849,1635
73,408,11,512,1883,1878,1657
74,256,163,512,1907,1905,1682
75,308,111,512,1935,1931,1703
76,323,96,512,1963,1959,1724
77,405,14,512,1989,1984,1747
78,415,4,512,2015,2010,1770
79,296,123,512,2041,2038,1793
80,280,139,512,2066,2063,1817
81,337,82,512,2092,2088,1840
82,314,105,512,2117,2114,1864
83,340,79,512,2143,2139,1887
84,348,71,512,2169,2165,1910
85,370,49,512,2197,2192,1931
86,293,126,512,2223,2220,1954
87,328,91,512,2250,2246,1976
88,394,25,512,2277,2272,1999
89,396,23,512,2304,2300,2022
90,256,163,512,2329,2327,2046
91,380,39,512,2355,2351,2069
92,339,80,512,2382,2379,2092
93,335,84,512,2408,2403,2115
94,416,3,512,2436,2429,2137
95,307,112,512,2463,2459,2160
96,411,8,512,2490,2486,2182
97,390,29,512,2517,2513,2205
98,305,114,512,2543,2540,2229
99,417,2,512,2572,2568,2249
100,402,17,512,2598,2593,2272
101,337,82,512,2624,2620,2296
102,412,7,512,2651,2646,2319
103,310,109,512,2677,2674,2343
104,339,80,512,2704,2700,2365
105,334,85,512,2732,2727,2386
106,353,66,512,2760,2756,2407
107,328,91,512,2787,2783,2429
108,374,45,512,2814,2810,2451
109,344,75,512,2839,2835,2475
110,381,38,512,2865,2862,2498
111,300,119,512,2892,2888,2521
112,407,12,512,2919,2914,2543
113,371,48,512,2946,2942,2566
114,336,83,512,2972,2968,2589
115,355,64,512,2997,2994,2613
116,347,72,512,3024,3019,2635
117,384,35,512,3050,3046,2658
118,373,46,512,3078,3074,2680
119,379,40,512,3107,3102,2701
120,365,54,512,3134,3130,2723
vrampress: done -- 3135 allocations, 3135 frees, 2724 refusals, free now 419 MiB of 512 MiB, recovery ok
