# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-grid1q policy, 2026-08-21.
vrampress: start free 419 MiB of 512 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 384 MiB held after 3 allocations (CUresult 2)
vrampress: grown to 384 MiB held, 35 MiB free of 512 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,256,163,512,3,1,2
1,256,163,512,28,26,26
2,381,38,512,56,50,47
3,290,129,512,79,76,73
4,307,112,512,106,102,95
5,360,59,512,133,129,117
6,256,163,512,158,156,141
7,382,37,512,186,180,162
8,380,39,512,212,208,186
9,329,90,512,238,234,209
10,336,83,512,264,260,232
11,298,121,512,290,287,256
12,336,83,512,315,311,280
13,414,5,512,342,336,302
14,299,120,512,367,363,327
15,385,34,512,394,388,349
16,292,127,512,418,415,374
17,276,143,512,444,441,397
18,412,7,512,471,466,419
19,414,5,512,497,491,442
20,305,114,512,522,518,466
21,382,37,512,547,544,490
22,299,120,512,573,570,513
23,310,109,512,600,596,535
24,325,94,512,626,622,558
25,396,23,512,652,647,581
26,348,71,512,677,673,605
27,326,93,512,703,698,628
28,365,54,512,729,725,651
29,412,7,512,755,750,674
30,344,75,512,780,775,698
31,355,64,512,807,803,720
32,352,67,512,833,829,743
33,325,94,512,859,856,766
34,303,116,512,887,883,787
35,323,96,512,914,909,809
36,393,26,512,940,936,833
37,358,61,512,965,961,857
38,392,27,512,991,987,880
39,418,1,512,1019,1013,901
40,414,5,512,1044,1039,925
41,339,80,512,1069,1065,949
42,348,71,512,1098,1093,969
43,318,101,512,1124,1121,993
44,256,163,512,1148,1146,1018
45,286,133,512,1175,1172,1040
46,370,49,512,1201,1197,1063
47,323,96,512,1228,1224,1085
48,375,44,512,1255,1250,1107
49,286,133,512,1279,1276,1132
50,323,96,512,1306,1302,1154
51,289,130,512,1331,1328,1178
52,333,86,512,1357,1352,1201
53,416,3,512,1386,1381,1222
54,412,7,512,1410,1406,1247
55,353,66,512,1437,1432,1269
56,379,40,512,1462,1459,1293
57,393,26,512,1490,1485,1314
58,340,79,512,1516,1511,1337
59,397,22,512,1541,1536,1361
60,406,13,512,1567,1563,1384
61,378,41,512,1594,1590,1407
62,297,122,512,1620,1617,1431
63,371,48,512,1647,1642,1454
64,379,40,512,1673,1668,1477
65,349,70,512,1698,1695,1501
66,317,102,512,1724,1720,1524
67,402,17,512,1750,1745,1547
68,397,22,512,1775,1771,1571
69,295,124,512,1802,1798,1593
70,369,50,512,1829,1824,1615
71,347,72,512,1856,1851,1637
72,362,57,512,1884,1879,1658
73,256,163,512,1908,1906,1683
74,388,31,512,1937,1931,1703
75,323,96,512,1964,1960,1725
76,292,127,512,1989,1986,1749
77,372,47,512,2016,2011,1771
78,296,123,512,2042,2039,1794
79,403,16,512,2069,2063,1817
80,371,48,512,2094,2089,1841
81,353,66,512,2119,2115,1865
82,351,68,512,2145,2141,1888
83,355,64,512,2171,2167,1911
84,318,101,512,2198,2194,1933
85,328,91,512,2225,2221,1955
86,344,75,512,2252,2247,1977
88,382,37,512,2278,2274,2000
89,379,40,512,2304,2301,2023
90,331,88,512,2330,2327,2046
91,397,22,512,2356,2351,2069
92,339,80,512,2382,2379,2092
93,335,84,512,2408,2403,2115
94,416,3,512,2436,2429,2137
95,307,112,512,2463,2459,2160
96,411,8,512,2490,2486,2182
97,363,56,512,2516,2512,2205
98,305,114,512,2542,2539,2228
99,418,1,512,2571,2567,2248
100,352,67,512,2596,2592,2272
101,344,75,512,2623,2619,2295
102,365,54,512,2650,2645,2318
103,388,31,512,2676,2672,2341
104,413,6,512,2703,2698,2363
105,416,3,512,2731,2724,2384
106,304,115,512,2758,2755,2406
107,361,58,512,2785,2781,2428
108,277,142,512,2812,2809,2450
109,414,5,512,2838,2833,2473
110,388,31,512,2864,2860,2496
111,367,52,512,2891,2885,2518
112,281,138,512,2916,2913,2542
113,329,90,512,2943,2940,2564
114,317,102,512,2969,2966,2587
115,337,82,512,2995,2991,2610
116,336,83,512,3021,3017,2634
117,357,62,512,3048,3044,2656
118,370,49,512,3076,3071,2678
119,334,85,512,3104,3100,2699
120,361,58,512,3132,3127,2720
vrampress: done -- 3139 allocations, 3139 frees, 2727 refusals, free now 419 MiB of 512 MiB, recovery ok
