# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-grid1q policy, 2026-08-21.
vrampress: start free 419 MiB of 512 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 384 MiB held after 3 allocations (CUresult 2)
vrampress: grown to 384 MiB held, 35 MiB free of 512 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,256,163,512,3,1,2
1,256,163,512,28,26,26
2,381,38,512,56,50,47
3,290,129,512,79,76,73
4,307,112,512,106,102,95
5,360,59,512,133,129,117
6,256,163,512,158,156,141
7,360,59,512,186,181,163
8,288,131,512,212,209,187
9,316,103,512,239,235,209
10,370,49,512,265,260,232
11,298,121,512,290,287,256
12,336,83,512,315,311,280
13,414,5,512,342,336,302
14,299,120,512,367,363,327
15,385,34,512,394,388,349
16,292,127,512,418,415,374
17,276,143,512,444,441,397
18,412,7,512,471,466,419
19,414,5,512,497,491,442
20,305,114,512,522,518,466
21,382,37,512,547,544,490
22,341,78,512,574,570,513
23,361,58,512,601,596,535
24,364,55,512,627,622,558
25,354,65,512,652,648,582
26,367,52,512,678,673,605
27,299,120,512,703,699,629
28,272,147,512,729,726,652
29,324,95,512,755,751,675
30,407,12,512,781,775,698
31,355,64,512,808,804,721
32,291,128,512,834,831,745
33,340,79,512,861,858,768
34,303,116,512,889,885,789
35,344,75,512,916,912,811
36,282,137,512,941,938,835
37,385,34,512,967,962,858
38,414,5,512,993,988,881
39,390,29,512,1020,1015,903
40,256,163,512,1044,1042,928
41,347,72,512,1071,1067,950
42,397,22,512,1100,1095,970
43,318,101,512,1125,1122,994
44,326,93,512,1150,1146,1018
45,415,4,512,1177,1172,1040
46,338,81,512,1202,1199,1064
47,373,46,512,1230,1224,1085
48,273,146,512,1255,1252,1109
49,391,28,512,1281,1276,1132
50,394,25,512,1308,1302,1154
51,326,93,512,1333,1330,1179
52,364,55,512,1359,1353,1202
53,412,7,512,1387,1383,1224
54,304,115,512,1411,1408,1249
55,307,112,512,1438,1434,1271
56,256,163,512,1463,1461,1295
57,414,5,512,1491,1487,1316
58,354,65,512,1517,1513,1339
59,303,116,512,1542,1538,1363
60,284,135,512,1568,1565,1386
61,401,18,512,1596,1591,1408
62,386,33,512,1622,1618,1432
63,329,90,512,1648,1644,1456
64,413,6,512,1674,1670,1479
65,418,1,512,1700,1696,1502
66,390,29,512,1727,1722,1525
67,278,141,512,1751,1748,1550
68,397,22,512,1778,1772,1572
69,295,124,512,1804,1800,1595
70,372,47,512,1832,1827,1616
71,294,125,512,1858,1854,1639
73,308,111,512,1886,1883,1661
74,333,86,512,1911,1908,1685
75,337,82,512,1939,1935,1706
76,345,74,512,1967,1963,1727
77,342,77,512,1992,1988,1751
78,313,106,512,2018,2014,1774
79,317,102,512,2045,2041,1796
80,368,51,512,2071,2066,1820
81,365,54,512,2096,2092,1844
82,314,105,512,2121,2118,1868
83,373,46,512,2147,2144,1891
84,373,46,512,2174,2170,1913
85,282,137,512,2201,2198,1935
86,293,126,512,2227,2224,1958
87,401,18,512,2256,2249,1979
88,387,32,512,2283,2277,2001
89,404,15,512,2308,2304,2026
90,256,163,512,2333,2331,2050
91,298,121,512,2359,2356,2073
92,372,47,512,2386,2382,2095
93,354,65,512,2412,2406,2118
94,347,72,512,2438,2433,2141
95,338,81,512,2467,2462,2162
96,342,77,512,2493,2489,2185
97,331,88,512,2519,2516,2208
98,375,44,512,2546,2541,2230
99,256,163,512,2573,2571,2252
100,377,42,512,2600,2596,2274
101,412,7,512,2626,2621,2297
102,280,139,512,2651,2648,2321
103,349,70,512,2678,2674,2343
104,291,128,512,2704,2701,2366
105,391,28,512,2733,2728,2386
106,396,23,512,2761,2756,2407
107,276,143,512,2787,2784,2430
108,394,25,512,2815,2810,2451
109,402,17,512,2840,2835,2475
110,256,163,512,2865,2863,2499
111,351,68,512,2893,2888,2521
112,305,114,512,2919,2915,2544
113,371,48,512,2946,2942,2566
114,283,136,512,2972,2969,2590
115,325,94,512,2998,2995,2614
116,398,21,512,3026,3020,2636
117,310,109,512,3051,3048,2660
118,323,96,512,3080,3076,2681
119,394,25,512,3109,3104,2702
120,297,122,512,3135,3132,2725
vrampress: done -- 3139 allocations, 3139 frees, 2728 refusals, free now 419 MiB of 512 MiB, recovery ok
