# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-grid1q policy, 2026-08-21.
vrampress: start free 419 MiB of 512 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 384 MiB held after 3 allocations (CUresult 2)
vrampress: grown to 384 MiB held, 35 MiB free of 512 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,256,163,512,3,1,2
1,256,163,512,28,26,26
2,381,38,512,56,50,47
3,290,129,512,79,76,73
4,307,112,512,106,102,95
5,360,59,512,133,129,117
6,256,163,512,158,156,141
7,382,37,512,186,180,162
8,288,131,512,211,208,186
9,382,37,512,238,233,208
10,301,118,512,263,259,232
11,298,121,512,289,286,255
12,373,46,512,314,310,279
13,316,103,512,340,336,302
14,391,28,512,366,362,326
15,359,60,512,393,388,349
16,397,22,512,418,414,373
17,374,45,512,444,440,396
18,360,59,512,470,466,419
19,414,5,512,497,491,442
20,305,114,512,522,518,466
21,382,37,512,547,544,490
22,299,120,512,573,570,513
23,310,109,512,600,596,535
24,325,94,512,626,622,558
25,396,23,512,652,647,581
26,348,71,512,677,673,605
27,326,93,512,703,698,628
28,365,54,512,729,725,651
29,412,7,512,755,750,674
30,344,75,512,780,775,698
31,355,64,512,807,803,720
32,352,67,512,833,829,743
33,325,94,512,859,856,766
34,303,116,512,887,883,787
35,323,96,512,914,909,809
36,282,137,512,939,936,833
37,277,142,512,964,961,857
38,272,147,512,990,987,880
39,389,30,512,1018,1013,901
40,394,25,512,1043,1039,925
41,363,56,512,1069,1064,948
42,398,21,512,1098,1092,968
43,394,25,512,1124,1120,992
44,348,71,512,1148,1145,1017
45,410,9,512,1175,1171,1039
46,288,131,512,1200,1197,1063
47,307,112,512,1227,1223,1085
48,375,44,512,1255,1250,1107
49,286,133,512,1279,1276,1132
50,323,96,512,1306,1302,1154
51,289,130,512,1331,1328,1178
52,333,86,512,1357,1352,1201
53,416,3,512,1386,1381,1222
54,412,7,512,1410,1406,1247
55,353,66,512,1437,1432,1269
56,379,40,512,1462,1459,1293
57,393,26,512,1490,1485,1314
58,340,79,512,1516,1511,1337
59,303,116,512,1541,1537,1362
60,284,135,512,1567,1564,1385
61,378,41,512,1594,1590,1407
62,322,97,512,1620,1616,1430
63,371,48,512,1646,1641,1453
64,379,40,512,1672,1667,1476
65,386,33,512,1697,1693,1500
66,317,102,512,1723,1719,1523
67,329,90,512,1748,1745,1547
68,385,34,512,1774,1770,1570
69,295,124,512,1801,1797,1592
70,369,50,512,1828,1823,1614
71,391,28,512,1856,1849,1635
72,408,11,512,1883,1878,1657
73,256,163,512,1907,1905,1682
74,308,111,512,1935,1931,1703
75,323,96,512,1963,1959,1724
76,405,14,512,1989,1984,1747
77,415,4,512,2015,2010,1770
78,296,123,512,2041,2038,1793
79,298,121,512,2067,2063,1817
80,397,22,512,2093,2088,1840
81,406,13,512,2118,2114,1864
82,351,68,512,2144,2140,1887
83,317,102,512,2169,2166,1911
85,408,11,512,2198,2192,1931
86,401,18,512,2224,2220,1954
87,328,91,512,2251,2247,1977
88,382,37,512,2278,2274,2000
89,379,40,512,2304,2301,2023
90,331,88,512,2330,2327,2046
91,397,22,512,2356,2351,2069
92,339,80,512,2382,2379,2092
93,335,84,512,2408,2403,2115
94,416,3,512,2436,2429,2137
95,417,2,512,2463,2458,2159
96,314,105,512,2489,2486,2182
97,391,28,512,2516,2511,2204
98,256,163,512,2541,2539,2228
99,304,115,512,2570,2567,2248
100,315,104,512,2595,2592,2272
101,344,75,512,2622,2618,2294
102,318,101,512,2648,2644,2317
103,334,85,512,2674,2671,2340
104,339,80,512,2701,2697,2362
105,365,54,512,2729,2723,2383
106,389,30,512,2757,2753,2404
107,408,11,512,2784,2779,2426
108,358,61,512,2811,2807,2448
109,344,75,512,2836,2832,2472
110,398,21,512,2863,2858,2494
111,401,18,512,2890,2884,2517
112,281,138,512,2915,2912,2541
113,329,90,512,2942,2939,2563
114,317,102,512,2968,2965,2586
115,382,37,512,2994,2990,2609
116,399,20,512,3020,3016,2633
117,363,56,512,3047,3043,2655
118,370,49,512,3075,3070,2677
119,334,85,512,3103,3099,2698
120,335,84,512,3130,3126,2720
vrampress: done -- 3136 allocations, 3136 frees, 2725 refusals, free now 419 MiB of 512 MiB, recovery ok
