# SPDX-License-Identifier: MIT
# results.tsv, from the run -- matrix policy, 2026-08-21.
row	guest_mib	workload	value
limit-384	384	convburn	           ^^^^^^^^^ torch.OutOfMemoryError: CUDA out of memory. Tried to allocate 64.00 MiB. GPU 0 has a total capacity of 384.00 MiB of which 47.31 MiB is free. Including non-PyTorch memory, this process has 336.69 MiB memory in use. Of the allocated memory 224.88 MiB is allocated by PyTorch, and 1.12 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf) 
limit-384	384	vrampress	grown to 256 MiB
profile-3328	3072	bmw27	00:23.42
profile-3328	3072	classroom	00:40.22
profile-3328	3072	classroom4k	00:41.97
profile-3328	3072	nvenc_fps	180
profile-3328	3072	convburn	convburn: sync=end iters=400 batch=8 time=8.716s 21.79ms/it acc=3.041451216e+00 vram=1011MiB 
profile-3328	3072	vrampress	grown to 2944 MiB
profile-1536	1280	bmw27	00:23.55
profile-1536	1280	classroom	00:43.30
profile-1536	1280	classroom4k	00:45.64
profile-1536	1280	nvenc_fps	168
profile-1536	1280	convburn	convburn: sync=end iters=400 batch=8 time=8.777s 21.94ms/it acc=3.041451216e+00 vram=1011MiB 
profile-1536	1280	vrampress	grown to 1152 MiB
