# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- n6-grid1q policy, 2026-08-21.
ts,used_mib,free_mib,util,ram_avail_mib,vm0,vm1,vm2,vm3,vm4,vm5,
22:14:51,3582,4191,40,14512,444,376,430,376,444,444
22:14:52,3502,4271,34,14367,474,432,432,448,448,474
22:14:53,3644,4129,31,14227,400,472,400,488,440,440
22:14:54,3474,4299,35,15156,464,414,414,370,436,436
22:14:55,3468,4305,35,15129,506,448,448,464,488,488
22:14:56,3612,4161,33,14936,438,482,482,352,464,464
22:14:57,3512,4261,37,15076,460,470,486,490,460,440
22:14:58,3496,4277,34,14945,436,470,432,506,436,458
22:14:59,861,6912,33,14754,0,0,0,0,0,0
22:15:01,861,6912,16,14588,0,0,0,0,0,0
22:15:02,861,6912,4,14592,0,0,0,0,0,0
22:15:03,861,6912,16,14954,0,0,0,0,0,0
22:15:04,861,6912,17,14741,0,0,0,0,0,0
