# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- uncapped policy, 2026-08-21.
vrampress: start free 686 MiB of 7771 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 128 MiB held after 1 allocations (CUresult 2)
vrampress: grown to 128 MiB held, 374 MiB free of 7771 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,184,318,7771,2,0,1
1,185,378,7771,29,27,23
2,418,338,7771,59,53,42
3,408,323,7771,92,85,58
4,271,399,7771,123,120,76
5,571,492,7771,159,152,89
6,298,458,7771,191,186,106
7,96,418,7771,220,218,126
8,416,372,7771,256,249,139
9,319,528,7771,282,278,162
10,326,361,7771,313,308,180
11,245,479,7771,342,338,199
12,288,345,7771,375,369,215
13,385,330,7771,410,402,229
14,474,482,7771,442,436,246
15,389,354,7771,475,469,262
16,169,400,7771,506,503,280
17,458,548,7771,543,535,291
18,475,464,7771,574,568,309
19,592,329,7771,611,603,321
20,393,464,7771,643,638,338
21,390,492,7771,675,669,354
22,473,348,7771,711,703,367
23,473,439,7771,749,742,378
24,342,482,7771,784,777,391
25,408,506,7771,821,814,402
26,374,460,7771,857,850,414
27,241,384,7771,888,882,432
28,355,479,7771,922,916,446
29,345,403,7771,953,947,463
30,346,364,7771,985,978,479
31,473,406,7771,1019,1011,493
32,480,490,7771,1048,1041,512
33,380,387,7771,1082,1077,527
34,415,322,7771,1113,1106,545
35,239,331,7771,1151,1144,555
36,312,356,7771,1188,1180,566
37,414,488,7771,1230,1222,572
38,429,358,7771,1264,1258,586
39,790,363,7771,1299,1291,599
40,475,455,7771,1336,1328,610
41,403,393,7771,1374,1367,620
42,496,351,7771,1408,1400,634
43,513,332,7771,1440,1432,650
44,242,531,7771,1473,1468,665
45,399,397,7771,1508,1503,678
46,492,442,7771,1548,1540,687
48,281,456,7771,1584,1578,700
49,435,522,7771,1625,1617,708
50,324,318,7771,1662,1655,720
51,524,479,7771,1700,1693,730
52,507,459,7771,1736,1728,743
53,438,440,7771,1773,1766,755
54,493,328,7771,1807,1801,769
55,364,387,7771,1836,1829,788
56,427,375,7771,1871,1863,801
57,394,505,7771,1906,1899,814
58,504,584,7771,1944,1936,824
59,487,444,7771,1979,1971,837
60,245,337,7771,2013,2008,851
61,364,547,7771,2048,2040,865
62,417,459,7771,2081,2075,880
63,334,579,7771,2118,2111,891
64,209,461,7771,2157,2152,901
65,312,465,7771,2190,2184,916
66,329,369,7771,2225,2218,930
67,511,435,7771,2266,2259,938
68,416,338,7771,2297,2290,955
69,334,368,7771,2330,2323,971
70,227,410,7771,2364,2360,986
71,581,555,7771,2398,2390,1001
72,454,491,7771,2433,2425,1014
73,466,356,7771,2468,2461,1027
74,413,486,7771,2503,2496,1041
75,622,340,7771,2537,2529,1055
76,319,401,7771,2570,2565,1071
77,468,390,7771,2605,2597,1085
78,381,486,7771,2638,2633,1100
79,440,450,7771,2668,2663,1119
80,357,454,7771,2705,2697,1130
81,518,343,7771,2739,2731,1145
82,513,414,7771,2773,2765,1159
83,353,448,7771,2806,2799,1174
84,343,384,7771,2842,2834,1187
85,505,355,7771,2875,2868,1202
86,455,359,7771,2909,2901,1217
87,366,500,7771,2938,2931,1236
88,368,410,7771,2968,2960,1255
89,371,318,7771,3002,2995,1269
90,280,408,7771,3038,3035,1281
91,426,415,7771,3073,3065,1295
92,436,505,7771,3106,3099,1311
93,324,469,7771,3143,3135,1323
94,329,469,7771,3177,3170,1337
95,453,330,7771,3211,3204,1352
96,612,462,7771,3246,3239,1365
97,432,378,7771,3283,3275,1377
98,343,586,7771,3321,3314,1387
99,238,492,7771,3355,3350,1402
100,430,318,7771,3385,3380,1420
101,332,407,7771,3421,3415,1432
102,433,554,7771,3450,3442,1451
103,560,408,7771,3484,3476,1466
104,390,387,7771,3516,3511,1482
105,584,347,7771,3549,3541,1498
106,463,388,7771,3584,3577,1511
107,454,346,7771,3614,3607,1529
108,571,344,7771,3645,3637,1546
109,324,550,7771,3676,3670,1563
110,430,478,7771,3712,3707,1575
111,581,416,7771,3744,3736,1592
112,485,379,7771,3781,3773,1603
113,493,519,7771,3815,3808,1618
114,497,424,7771,3852,3845,1630
115,459,469,7771,3885,3878,1645
116,355,412,7771,3921,3916,1658
117,391,418,7771,3956,3950,1672
118,424,354,7771,3989,3982,1687
119,455,423,7771,4020,4013,1704
vrampress: done -- 4050 allocations, 4050 frees, 1711 refusals, free now 5503 MiB of 7771 MiB, recovery ok
