# SPDX-License-Identifier: MIT
# host sampler, 1 Hz, local time: ts,used_mib,free_mib,util,enc_sessions,enc_fps,desktop_mib,desktop2_mib -- uncapped policy, 2026-08-21.
ts,used_mib,free_mib,util,ram_avail_mib,vm0,vm1,vm2,vm3,
21:47:58,891,6882,11,16082,0,0,0,0
21:47:59,7362,410,5,16078,226,2234,354,3638
21:48:00,7384,388,11,16081,432,2210,242,3618
21:48:01,7320,452,12,16037,578,2396,394,3040
21:48:02,7320,452,20,16029,352,2302,564,3338
21:48:03,7438,334,19,16039,504,2186,296,3464
21:48:04,7406,366,19,16043,390,2326,396,3374
21:48:05,7294,478,20,16052,312,2076,602,3482
21:48:06,7359,413,21,16059,538,2480,308,3114
21:48:08,7421,351,18,16057,662,1760,676,3308
21:48:09,7286,486,20,16059,402,1948,584,3590
21:48:10,7428,344,22,16073,600,2132,434,3370
21:48:11,7344,428,22,16078,614,1876,610,3456
21:48:12,7318,455,21,16067,480,2072,460,3468
21:48:13,7304,469,22,16070,506,1950,604,3464
21:48:14,7360,413,22,16047,610,1802,582,3526
21:48:15,7435,337,24,16053,590,1990,288,3624
21:48:16,7374,399,28,16042,302,2214,508,3372
21:48:17,7334,439,30,16021,712,1986,544,3246
21:48:18,7404,368,31,16034,540,1916,552,3438
21:48:19,7436,336,36,16034,598,2220,300,3400
21:48:20,7326,447,32,16025,584,1948,494,3440
21:48:21,7308,464,33,16026,566,2024,544,3388
21:48:22,7384,388,29,16035,308,2272,538,3394
21:48:23,7378,394,38,16056,418,2150,512,3396
21:48:25,7376,397,37,16037,288,2166,496,3324
21:48:26,7354,418,31,16022,690,1908,588,3216
21:48:27,7366,406,34,16028,510,1988,722,3292
21:48:28,7264,508,34,16005,624,2108,416,3288
21:48:29,7352,421,39,15980,418,2008,584,3526
21:48:30,7404,369,33,15994,488,2020,564,3394
21:48:31,7374,399,35,15983,334,2118,656,3254
21:48:32,7338,434,39,15970,604,1870,478,3532
21:48:33,7436,337,32,15967,554,1934,586,3340
21:48:34,7258,514,30,15981,456,2188,372,3432
21:48:35,7250,522,36,15973,538,2164,646,3138
21:48:36,7392,381,39,15962,544,2116,428,3286
21:48:37,7394,379,37,16021,506,1988,662,3314
21:48:38,7393,380,34,16055,558,1924,574,3372
21:48:40,7354,418,39,16046,428,2086,644,3244
21:48:41,7436,336,35,16034,764,1928,556,3224
21:48:42,7334,438,35,16039,636,2050,376,3374
21:48:43,7388,384,36,16032,420,2212,496,3432
21:48:44,7268,504,37,16040,648,1942,542,3360
21:48:45,7300,472,32,16034,598,2152,470,3264
21:48:46,7423,349,35,16029,330,2022,638,3398
21:48:47,7236,536,34,15995,574,2122,460,3310
21:48:48,7223,549,33,15994,392,2134,542,3380
21:48:49,7450,322,34,16005,490,1986,620,3362
21:48:50,7388,384,34,16020,580,1784,656,3390
21:48:51,7306,467,35,15998,436,2166,610,3284
21:48:52,7350,423,33,15999,520,2018,672,3322
21:48:53,7326,446,33,16013,470,2216,402,3376
21:48:54,7446,326,32,16007,584,2018,524,3342
21:48:55,7442,331,35,16031,514,2238,368,3298
21:48:57,7406,366,36,16042,544,2062,564,3324
21:48:58,7306,466,38,16034,570,1950,632,3328
21:48:59,7351,421,36,16038,472,2070,552,3438
21:49:00,7398,374,35,16044,426,2066,688,3362
21:49:01,7386,387,34,16038,550,2082,338,3416
21:49:02,7369,404,39,15995,570,2052,648,3234
21:49:03,7372,400,34,16008,566,2050,528,3360
21:49:04,7342,430,34,16003,522,1952,490,3332
21:49:05,7374,398,35,15993,406,2078,408,3398
21:49:06,7360,412,36,15983,618,2126,528,3200
21:49:07,7310,463,37,15966,564,2118,294,3508
21:49:08,7396,376,34,16003,670,2122,266,3450
