# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n4-grid policy, 2026-08-21.
vrampress: start free 1187 MiB of 1280 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 1152 MiB held after 9 allocations (CUresult 2)
vrampress: grown to 1152 MiB held, 35 MiB free of 1280 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,1024,163,1280,9,1,2
1,1024,163,1280,34,26,26
2,1149,38,1280,62,50,47
3,1058,129,1280,85,76,73
4,1075,112,1280,112,102,95
5,1128,59,1280,139,129,117
6,1147,40,1280,165,156,141
7,1128,59,1280,192,181,163
8,1148,39,1280,218,208,186
9,1097,90,1280,244,234,209
10,1104,83,1280,270,260,232
11,1066,121,1280,296,287,256
12,1104,83,1280,321,311,280
13,1182,5,1280,348,336,302
14,1047,140,1280,372,363,327
15,1127,60,1280,399,388,349
16,1165,22,1280,424,414,373
17,1142,45,1280,450,440,396
18,1180,7,1280,477,466,419
19,1182,5,1280,503,491,442
20,1073,114,1280,528,518,466
21,1150,37,1280,553,544,490
22,1067,120,1280,579,570,513
23,1078,109,1280,606,596,535
24,1093,94,1280,632,622,558
25,1164,23,1280,658,647,581
26,1116,71,1280,683,673,605
27,1094,93,1280,709,698,628
28,1133,54,1280,735,725,651
29,1180,7,1280,761,750,674
30,1112,75,1280,786,775,698
31,1183,4,1280,814,803,720
32,1155,32,1280,840,829,743
33,1024,163,1280,865,857,767
34,1099,88,1280,894,883,787
35,1143,44,1280,921,910,810
36,1050,137,1280,946,937,834
37,1126,61,1280,972,962,858
38,1072,115,1280,998,988,881
39,1081,106,1280,1025,1015,903
40,1074,113,1280,1050,1041,927
41,1107,80,1280,1076,1066,950
42,1085,102,1280,1105,1095,970
43,1102,85,1280,1131,1121,993
44,1057,130,1280,1155,1146,1018
45,1075,112,1280,1182,1172,1040
46,1152,35,1280,1208,1198,1063
47,1123,64,1280,1235,1224,1085
48,1121,66,1280,1261,1251,1108
49,1129,58,1280,1286,1276,1132
50,1126,61,1280,1313,1302,1154
51,1127,60,1280,1338,1328,1178
52,1150,37,1280,1364,1352,1201
53,1184,3,1280,1392,1381,1222
54,1180,7,1280,1416,1406,1247
55,1075,112,1280,1443,1433,1270
56,1177,10,1280,1469,1459,1293
57,1081,106,1280,1496,1487,1316
58,1057,130,1280,1522,1513,1339
59,1125,62,1280,1548,1537,1362
60,1083,104,1280,1574,1564,1385
61,1146,41,1280,1601,1591,1408
62,1065,122,1280,1627,1618,1432
63,1156,31,1280,1654,1642,1454
64,1080,107,1280,1679,1669,1478
65,1133,54,1280,1705,1695,1501
66,1115,72,1280,1731,1720,1524
67,1133,54,1280,1756,1746,1548
68,1081,106,1280,1782,1772,1572
69,1063,124,1280,1809,1799,1594
70,1077,110,1280,1836,1826,1616
71,1115,72,1280,1863,1852,1638
72,1173,14,1280,1891,1880,1659
73,1169,18,1280,1916,1906,1683
74,1168,19,1280,1944,1932,1704
75,1060,127,1280,1971,1962,1726
76,1060,127,1280,1996,1987,1750
78,1121,66,1280,2023,2012,1772
79,1064,123,1280,2049,2040,1795
80,1121,66,1280,2075,2064,1818
81,1105,82,1280,2100,2090,1842
82,1175,12,1280,2127,2115,1865
83,1024,163,1280,2151,2143,1890
84,1133,54,1280,2178,2168,1912
85,1178,9,1280,2206,2195,1933
86,1096,91,1280,2232,2222,1956
87,1185,2,1280,2261,2247,1977
88,1138,49,1280,2286,2276,2001
89,1167,20,1280,2312,2302,2024
90,1024,163,1280,2337,2329,2048
91,1105,82,1280,2364,2354,2071
92,1107,80,1280,2390,2381,2094
93,1148,39,1280,2416,2405,2117
94,1081,106,1280,2442,2432,2140
95,1106,81,1280,2471,2460,2160
96,1110,77,1280,2497,2487,2183
97,1114,73,1280,2523,2514,2206
98,1180,7,1280,2550,2540,2229
99,1072,115,1280,2578,2569,2250
100,1061,126,1280,2604,2595,2274
101,1163,24,1280,2631,2620,2296
102,1180,7,1280,2657,2646,2319
103,1078,109,1280,2683,2674,2343
104,1107,80,1280,2710,2700,2365
105,1102,85,1280,2738,2727,2386
106,1121,66,1280,2766,2756,2407
107,1096,91,1280,2793,2783,2429
108,1142,45,1280,2820,2810,2451
109,1112,75,1280,2845,2835,2475
110,1149,38,1280,2871,2862,2498
111,1185,2,1280,2898,2887,2520
112,1175,12,1280,2925,2914,2543
113,1139,48,1280,2952,2942,2566
114,1051,136,1280,2978,2969,2590
115,1093,94,1280,3004,2995,2614
116,1166,21,1280,3032,3020,2636
117,1175,12,1280,3058,3048,2660
118,1174,13,1280,3087,3076,2681
119,1162,25,1280,3115,3104,2702
120,1160,27,1280,3142,3132,2725
vrampress: done -- 3145 allocations, 3145 frees, 2727 refusals, free now 1187 MiB of 1280 MiB, recovery ok
