# SPDX-License-Identifier: MIT
# the load's own log: t,held_mib,free_mib,total_mib,allocs,frees,fails (guest-side view) -- n8-off policy, 2026-08-21.
vrampress: start free 322 MiB of 7771 MiB, mode max, chunk 128 MiB, churn 64 MiB, 120 s
vrampress: refused at 0 MiB held after 0 allocations (CUresult 2)
vrampress: grown to 0 MiB held, 322 MiB free of 7771 MiB
t,held_mib,free_mib,total_mib,allocs,frees,fails
0,0,324,7771,0,0,2
1,358,318,7771,32,26,18
2,485,318,7771,63,56,36
3,86,386,7771,88,86,60
4,164,540,7771,118,115,79
5,526,378,7771,151,143,94
6,140,368,7771,178,175,115
7,169,366,7771,203,201,138
8,298,362,7771,233,227,156
9,75,352,7771,261,259,177
10,179,378,7771,286,284,200
11,513,524,7771,317,309,217
12,579,368,7771,350,342,232
13,283,436,7771,378,372,253
14,413,478,7771,406,400,274
15,417,308,7771,438,431,290
16,259,386,7771,463,459,314
17,671,626,7771,491,483,334
18,347,425,7771,525,517,348
19,472,425,7771,555,547,366
20,164,412,7771,583,580,385
21,308,440,7771,615,611,401
22,177,520,7771,638,634,426
23,359,353,7771,672,665,440
24,231,413,7771,702,697,459
25,334,348,7771,733,725,476
26,269,483,7771,765,759,492
27,446,467,7771,801,793,503
28,558,614,7771,834,826,518
29,466,339,7771,866,859,535
30,185,379,7771,896,894,553
31,187,348,7771,924,921,573
32,420,472,7771,954,948,591
33,549,312,7771,982,975,611
34,376,383,7771,1017,1010,623
35,336,468,7771,1048,1042,640
36,273,487,7771,1079,1073,657
37,355,364,7771,1115,1107,668
38,24,444,7771,1145,1144,686
39,390,342,7771,1176,1171,703
40,319,386,7771,1207,1200,720
41,204,347,7771,1233,1230,742
42,398,394,7771,1264,1257,759
43,361,484,7771,1299,1292,772
44,114,326,7771,1325,1323,794
45,638,402,7771,1359,1351,808
46,461,325,7771,1390,1382,825
47,434,412,7771,1422,1414,841
48,198,486,7771,1453,1449,858
49,201,392,7771,1481,1477,878
50,318,435,7771,1517,1510,891
51,185,387,7771,1549,1544,907
53,588,340,7771,1581,1573,923
54,287,396,7771,1616,1610,936
55,301,332,7771,1647,1641,954
56,349,357,7771,1678,1671,971
57,364,371,7771,1712,1705,985
58,350,398,7771,1748,1742,997
59,587,538,7771,1783,1775,1010
60,222,398,7771,1806,1803,1035
61,466,404,7771,1840,1832,1049
62,131,381,7771,1873,1870,1064
63,360,400,7771,1903,1897,1082
64,435,486,7771,1941,1933,1092
65,281,350,7771,1972,1967,1109
66,393,330,7771,2002,1995,1127
67,502,411,7771,2035,2027,1142
68,272,342,7771,2064,2058,1160
69,550,354,7771,2096,2089,1176
70,356,524,7771,2130,2123,1190
71,403,617,7771,2170,2163,1198
72,351,436,7771,2204,2198,1212
73,208,474,7771,2232,2228,1232
74,330,518,7771,2264,2258,1248
75,372,458,7771,2293,2285,1267
76,369,370,7771,2322,2316,1286
77,477,532,7771,2357,2349,1299
78,270,444,7771,2390,2383,1314
79,351,448,7771,2419,2413,1333
80,303,476,7771,2454,2450,1346
81,341,516,7771,2488,2481,1359
82,269,386,7771,2521,2515,1374
83,262,457,7771,2550,2546,1393
84,369,373,7771,2580,2574,1411
85,452,448,7771,2611,2604,1427
86,434,418,7771,2646,2639,1440
87,413,519,7771,2682,2675,1452
88,364,311,7771,2715,2710,1467
89,233,408,7771,2746,2741,1484
90,351,412,7771,2773,2768,1504
91,516,468,7771,2808,2801,1517
92,634,456,7771,2845,2838,1528
93,430,544,7771,2884,2877,1537
94,101,478,7771,2916,2913,1553
95,458,445,7771,2949,2941,1568
96,407,410,7771,2983,2978,1582
97,275,500,7771,3020,3016,1593
98,414,340,7771,3056,3050,1605
99,249,434,7771,3093,3088,1615
100,516,417,7771,3126,3118,1630
101,385,378,7771,3156,3150,1648
102,432,428,7771,3191,3184,1661
103,354,311,7771,3220,3214,1680
104,397,420,7771,3257,3251,1692
105,263,385,7771,3292,3288,1705
106,278,478,7771,3323,3318,1723
107,166,372,7771,3354,3351,1740
108,418,414,7771,3393,3385,1749
109,181,440,7771,3426,3421,1764
110,569,472,7771,3457,3449,1781
111,402,400,7771,3487,3480,1799
112,283,450,7771,3517,3512,1817
113,454,394,7771,3547,3541,1835
114,225,360,7771,3576,3572,1854
115,471,320,7771,3607,3599,1871
116,141,442,7771,3641,3637,1884
117,383,434,7771,3674,3666,1898
118,381,341,7771,3711,3704,1909
