# SPDX-License-Identifier: MIT
# that guest's own nvidia-smi every 5 s, UTC: ts,total_mib,used_mib,free_mib -- reservation policy, 2026-08-21.
18:24:12,2816,253,2564
18:24:17,2816,2707,110
18:24:22,2816,2695,122
18:24:27,2816,2678,139
18:24:32,2816,2733,84
18:24:37,2816,2728,89
18:24:42,2816,2747,70
18:24:47,2816,2773,44
18:24:52,2816,2807,10
18:24:57,2816,2773,44
18:25:02,2816,2769,48
18:25:07,2816,2777,40
18:25:12,2816,2686,131
18:25:17,2816,2645,172
18:25:22,2816,2787,30
18:25:27,2816,2793,24
18:25:32,2816,2764,53
18:25:37,2816,2718,99
18:25:42,2816,2703,114
18:25:47,2816,2645,172
18:25:52,2816,2787,30
18:25:58,2816,2721,96
18:26:03,2816,2714,103
18:26:08,2816,2686,131
18:26:13,2816,2794,23
18:26:18,2816,2774,43
18:26:23,2816,2730,87
18:26:28,2816,2702,115
18:26:33,2816,2795,22
18:26:38,2816,2683,134
18:26:43,2816,2765,52
18:26:48,2816,2750,67
18:26:53,2816,2729,88
18:26:58,2816,2790,27
18:27:03,2816,2745,72
18:27:08,2816,2731,86
18:27:13,2816,2669,148
18:27:18,2816,2689,128
18:27:23,2816,2814,3
18:27:28,2816,2769,48
18:27:33,2816,2763,54
18:27:38,2816,2755,62
18:27:43,2816,2729,88
18:27:48,2816,2669,148
18:27:53,2816,2667,150
18:27:58,2816,2735,82
18:28:03,2816,2747,70
18:28:08,2816,2795,22
18:28:13,2816,2699,118
18:28:18,2816,2764,53
18:28:23,2816,2743,74
18:28:28,2816,2778,39
18:28:33,2816,2803,14
18:28:38,2816,2735,82
18:28:43,2816,2685,132
18:28:48,2816,2678,139
18:28:54,2816,2798,19
18:28:59,2816,2774,43
18:29:04,2816,2716,101
18:29:09,2816,2762,55
18:29:14,2816,2645,172
18:29:19,2816,2708,109
18:29:24,2816,2754,63
18:29:29,2816,2736,81
18:29:34,2816,2765,52
18:29:39,2816,2691,126
18:29:44,2816,2782,35
18:29:49,2816,2754,63
18:29:54,2816,2707,110
18:29:59,2816,2781,36
18:30:04,2816,2744,73
18:30:09,2816,2669,148
18:30:14,2816,2787,30
18:30:19,2816,2767,50
18:30:24,2816,2803,14
18:30:29,2816,2696,121
18:30:34,2816,2683,134
18:30:39,2816,2778,39
18:30:44,2816,2723,94
18:30:49,2816,2686,131
18:30:54,2816,2751,66
18:30:59,2816,2772,45
18:31:04,2816,2679,138
18:31:09,2816,2684,133
18:31:14,2816,2802,15
18:31:19,2816,2736,81
18:31:24,2816,2727,90
18:31:29,2816,2740,77
18:31:34,2816,2800,17
18:31:39,2816,2754,63
18:31:45,2816,2661,156
18:31:50,2816,2816,1
18:31:55,2816,2706,111
18:32:00,2816,2689,128
18:32:05,2816,2788,29
18:32:10,2816,2786,31
18:32:15,2816,2684,133
18:32:20,2816,2709,108
18:32:25,2816,2692,125
18:32:30,2816,2770,47
18:32:35,2816,2738,79
18:32:40,2816,2687,130
18:32:45,2816,2744,73
18:32:50,2816,2712,105
18:32:55,2816,2762,55
18:33:00,2816,2781,36
18:33:05,2816,2712,105
18:33:10,2816,2811,6
18:33:15,2816,2784,33
18:33:20,2816,2794,23
18:33:25,2816,2741,76
18:33:30,2816,2737,80
18:33:35,2816,2713,104
18:33:40,2816,2786,31
18:33:45,2816,2700,117
18:33:50,2816,2773,44
18:33:55,2816,2807,10
18:34:00,2816,2723,94
18:34:05,2816,2701,116
18:34:10,2816,2782,35
18:34:15,2816,231,2586
18:34:20,2816,231,2586
18:34:25,2816,231,2586
18:34:31,2816,231,2586
18:34:36,2816,231,2586
18:34:41,2816,255,2562
18:34:46,2816,342,2475
Connection to 192.168.100.17 closed by remote host.
