# SPDX-License-Identifier: MIT
# that guest's own nvidia-smi every 5 s, UTC: ts,total_mib,used_mib,free_mib -- accounting policy, 2026-08-21.
18:37:49,3072,248,2825
18:37:54,3072,2900,173
18:37:59,3072,2971,102
18:38:04,3072,2970,103
18:38:09,3072,3022,51
18:38:14,3072,2923,150
18:38:19,3072,2949,124
18:38:24,3072,2997,76
18:38:29,3072,2950,123
18:38:34,3072,2985,88
18:38:39,3072,3072,1
18:38:44,3072,3070,3
18:38:49,3072,3057,16
18:38:54,3072,2966,107
18:38:59,3072,2929,144
18:39:04,3072,2947,126
18:39:09,3072,2926,147
18:39:14,3072,3013,60
18:39:19,3072,2939,134
18:39:24,3072,3012,61
18:39:29,3072,3016,57
18:39:34,3072,2900,173
18:39:40,3072,2981,92
18:39:45,3072,3057,16
18:39:50,3072,3060,13
18:39:55,3072,2981,92
18:40:00,3072,2952,121
18:40:05,3072,2924,149
18:40:10,3072,3072,1
18:40:15,3072,3070,3
18:40:20,3072,2985,88
18:40:25,3072,2894,179
18:40:30,3072,2948,125
18:40:35,3072,2953,120
18:40:40,3072,2956,117
18:40:45,3072,2976,97
18:40:50,3072,2948,125
18:40:55,3072,2956,117
18:41:00,3072,3022,51
18:41:05,3072,2983,90
18:41:10,3072,3022,51
18:41:15,3072,2939,134
18:41:20,3072,2900,173
18:41:25,3072,3057,16
18:41:30,3072,2969,104
18:41:35,3072,3038,35
18:41:40,3072,2914,159
18:41:45,3072,2893,180
18:41:50,3072,3008,65
18:41:55,3072,2997,76
18:42:00,3072,2949,124
18:42:05,3072,2943,130
18:42:10,3072,2971,102
18:42:15,3072,2923,150
18:42:20,3072,2989,84
18:42:25,3072,2989,84
18:42:30,3072,3035,38
18:42:36,3072,3003,70
18:42:41,3072,3023,50
18:42:46,3072,3005,68
18:42:51,3072,2964,109
18:42:56,3072,2976,97
18:43:01,3072,2967,106
18:43:06,3072,3020,53
18:43:11,3072,2998,75
18:43:16,3072,3045,28
18:43:21,3072,3028,45
18:43:26,3072,3042,31
18:43:31,3072,3018,55
18:43:36,3072,3015,58
18:43:41,3072,3059,14
18:43:46,3072,3038,35
18:43:51,3072,2952,121
18:43:56,3072,3013,60
18:44:01,3072,2949,124
18:44:06,3072,2938,135
18:44:11,3072,2986,87
18:44:16,3072,2955,118
18:44:21,3072,3019,54
18:44:26,3072,3000,73
18:44:31,3072,3028,45
18:44:36,3072,2989,84
18:44:41,3072,2957,116
18:44:46,3072,2958,115
18:44:51,3072,3005,68
18:44:56,3072,2964,109
18:45:01,3072,2980,93
18:45:06,3072,2882,191
18:45:11,3072,2946,127
18:45:16,3072,3008,65
18:45:21,3072,3051,22
18:45:26,3072,3000,73
18:45:32,3072,3040,33
18:45:37,3072,2864,209
18:45:42,3072,2999,74
18:45:47,3072,3029,44
18:45:52,3072,2898,175
18:45:57,3072,2968,105
18:46:02,3072,3015,58
18:46:07,3072,3022,51
18:46:12,3072,2999,74
18:46:17,3072,3013,60
18:46:22,3072,3037,36
18:46:27,3072,2937,136
18:46:32,3072,3002,71
18:46:37,3072,3043,30
18:46:42,3072,3031,42
18:46:47,3072,3040,33
18:46:52,3072,2993,80
18:46:57,3072,2950,123
18:47:02,3072,2928,145
18:47:07,3072,2969,104
18:47:12,3072,2980,93
18:47:17,3072,2952,121
18:47:22,3072,2964,109
18:47:27,3072,3012,61
18:47:32,3072,2995,78
18:47:37,3072,2969,104
18:47:42,3072,2980,93
18:47:47,3072,2937,136
18:47:52,3072,229,2844
18:47:57,3072,229,2844
18:48:02,3072,229,2844
18:48:07,3072,229,2844
18:48:12,3072,229,2844
18:48:17,3072,229,2844
18:48:23,3072,229,2844
18:48:28,3072,323,2750
18:48:33,3072,340,2733
Connection to 192.168.100.17 closed by remote host.
